fixed_cost_id,category,amount,billing_date,payment_status
1,Rent,4000.0,2015-01-01,Paid
2,Utilities,700.0,2015-01-01,Paid
3,Marketing,1000.0,2015-01-01,Paid
4,Software,200.0,2015-01-01,Paid
5,Maintenance,100.0,2015-01-01,Paid
6,Rent,4000.0,2015-02-01,Paid
7,Utilities,700.0,2015-02-01,Paid
8,Marketing,1000.0,2015-02-01,Paid
9,Software,200.0,2015-02-01,Paid
10,Maintenance,100.0,2015-02-01,Paid
11,Rent,4000.0,2015-03-01,Paid
12,Utilities,700.0,2015-03-01,Paid
13,Marketing,1000.0,2015-03-01,Paid
14,Software,200.0,2015-03-01,Paid
15,Maintenance,100.0,2015-03-01,Paid
16,Rent,4000.0,2015-04-01,Paid
17,Utilities,700.0,2015-04-01,Paid
18,Marketing,1000.0,2015-04-01,Paid
19,Software,200.0,2015-04-01,Paid
20,Maintenance,100.0,2015-04-01,Paid
21,Rent,4000.0,2015-05-01,Paid
22,Utilities,700.0,2015-05-01,Paid
23,Marketing,1000.0,2015-05-01,Paid
24,Software,200.0,2015-05-01,Paid
25,Maintenance,100.0,2015-05-01,Paid
26,Rent,4000.0,2015-06-01,Paid
27,Utilities,700.0,2015-06-01,Paid
28,Marketing,1000.0,2015-06-01,Paid
29,Software,200.0,2015-06-01,Paid
30,Maintenance,100.0,2015-06-01,Paid
31,Rent,4000.0,2015-07-01,Paid
32,Utilities,700.0,2015-07-01,Paid
33,Marketing,1000.0,2015-07-01,Paid
34,Software,200.0,2015-07-01,Paid
35,Maintenance,100.0,2015-07-01,Paid
36,Rent,4000.0,2015-08-01,Paid
37,Utilities,700.0,2015-08-01,Paid
38,Marketing,1000.0,2015-08-01,Paid
39,Software,200.0,2015-08-01,Paid
40,Maintenance,100.0,2015-08-01,Paid
41,Rent,4000.0,2015-09-01,Paid
42,Utilities,700.0,2015-09-01,Paid
43,Marketing,1000.0,2015-09-01,Paid
44,Software,200.0,2015-09-01,Paid
45,Maintenance,100.0,2015-09-01,Paid
46,Rent,4000.0,2015-10-01,Paid
47,Utilities,700.0,2015-10-01,Paid
48,Marketing,1000.0,2015-10-01,Paid
49,Software,200.0,2015-10-01,Paid
50,Maintenance,100.0,2015-10-01,Paid
51,Rent,4000.0,2015-11-01,Paid
52,Utilities,700.0,2015-11-01,Paid
53,Marketing,1000.0,2015-11-01,Paid
54,Software,200.0,2015-11-01,Paid
55,Maintenance,100.0,2015-11-01,Paid
56,Rent,4000.0,2015-12-01,Paid
57,Utilities,700.0,2015-12-01,Paid
58,Marketing,1000.0,2015-12-01,Paid
59,Software,200.0,2015-12-01,Paid
60,Maintenance,100.0,2015-12-01,Paid
