log_id,staff_id,work_date,hours_worked
14966,1,2015-01-01,8.0
14967,2,2015-01-01,8.0
14968,3,2015-01-01,8.0
14969,4,2015-01-01,8.0
14970,5,2015-01-01,8.0
14971,6,2015-01-01,8.0
14972,7,2015-01-01,8.0
14973,8,2015-01-01,8.0
14974,9,2015-01-01,8.0
14975,10,2015-01-01,4.0
14976,11,2015-01-01,4.0
14977,12,2015-01-01,4.0
14978,13,2015-01-01,4.0
14979,1,2015-01-02,8.0
14980,2,2015-01-02,8.0
14981,3,2015-01-02,8.0
14982,4,2015-01-02,8.0
14983,5,2015-01-02,8.0
14984,6,2015-01-02,8.0
14985,7,2015-01-02,8.0
14986,8,2015-01-02,8.0
14987,9,2015-01-02,8.0
14988,10,2015-01-02,4.0
14989,11,2015-01-02,4.0
14990,12,2015-01-02,4.0
14991,13,2015-01-02,4.0
14992,1,2015-01-03,8.0
14993,2,2015-01-03,8.0
14994,3,2015-01-03,8.0
14995,4,2015-01-03,8.0
14996,5,2015-01-03,8.0
14997,6,2015-01-03,8.0
14998,7,2015-01-03,8.0
14999,8,2015-01-03,8.0
15000,9,2015-01-03,8.0
15001,10,2015-01-03,4.0
15002,11,2015-01-03,4.0
15003,12,2015-01-03,4.0
15004,13,2015-01-03,4.0
15005,1,2015-01-04,8.0
15006,2,2015-01-04,8.0
15007,3,2015-01-04,8.0
15008,4,2015-01-04,8.0
15009,5,2015-01-04,8.0
15010,6,2015-01-04,8.0
15011,7,2015-01-04,8.0
15012,8,2015-01-04,8.0
15013,9,2015-01-04,8.0
15014,10,2015-01-04,4.0
15015,11,2015-01-04,4.0
15016,12,2015-01-04,4.0
15017,13,2015-01-04,4.0
15018,1,2015-01-05,8.0
15019,2,2015-01-05,8.0
15020,3,2015-01-05,8.0
15021,4,2015-01-05,8.0
15022,5,2015-01-05,8.0
15023,6,2015-01-05,8.0
15024,7,2015-01-05,8.0
15025,8,2015-01-05,8.0
15026,9,2015-01-05,8.0
15027,10,2015-01-05,4.0
15028,11,2015-01-05,4.0
15029,12,2015-01-05,4.0
15030,13,2015-01-05,4.0
15031,1,2015-01-06,8.0
15032,2,2015-01-06,8.0
15033,3,2015-01-06,8.0
15034,4,2015-01-06,8.0
15035,5,2015-01-06,8.0
15036,6,2015-01-06,8.0
15037,7,2015-01-06,8.0
15038,8,2015-01-06,8.0
15039,9,2015-01-06,8.0
15040,10,2015-01-06,4.0
15041,11,2015-01-06,4.0
15042,12,2015-01-06,4.0
15043,13,2015-01-06,4.0
15044,1,2015-01-07,8.0
15045,2,2015-01-07,8.0
15046,3,2015-01-07,8.0
15047,4,2015-01-07,8.0
15048,5,2015-01-07,8.0
15049,6,2015-01-07,8.0
15050,7,2015-01-07,8.0
15051,8,2015-01-07,8.0
15052,9,2015-01-07,8.0
15053,10,2015-01-07,4.0
15054,11,2015-01-07,4.0
15055,12,2015-01-07,4.0
15056,13,2015-01-07,4.0
15057,1,2015-01-08,8.0
15058,2,2015-01-08,8.0
15059,3,2015-01-08,8.0
15060,4,2015-01-08,8.0
15061,5,2015-01-08,8.0
15062,6,2015-01-08,8.0
15063,7,2015-01-08,8.0
15064,8,2015-01-08,8.0
15065,9,2015-01-08,8.0
15066,10,2015-01-08,4.0
15067,11,2015-01-08,4.0
15068,12,2015-01-08,4.0
15069,13,2015-01-08,4.0
15070,1,2015-01-09,8.0
15071,2,2015-01-09,8.0
15072,3,2015-01-09,8.0
15073,4,2015-01-09,8.0
15074,5,2015-01-09,8.0
15075,6,2015-01-09,8.0
15076,7,2015-01-09,8.0
15077,8,2015-01-09,8.0
15078,9,2015-01-09,8.0
15079,10,2015-01-09,4.0
15080,11,2015-01-09,4.0
15081,12,2015-01-09,4.0
15082,13,2015-01-09,4.0
15083,1,2015-01-10,8.0
15084,2,2015-01-10,8.0
15085,3,2015-01-10,8.0
15086,4,2015-01-10,8.0
15087,5,2015-01-10,8.0
15088,6,2015-01-10,8.0
15089,7,2015-01-10,8.0
15090,8,2015-01-10,8.0
15091,9,2015-01-10,8.0
15092,10,2015-01-10,4.0
15093,11,2015-01-10,4.0
15094,12,2015-01-10,4.0
15095,13,2015-01-10,4.0
15096,1,2015-01-11,8.0
15097,2,2015-01-11,8.0
15098,3,2015-01-11,8.0
15099,4,2015-01-11,8.0
15100,5,2015-01-11,8.0
15101,6,2015-01-11,8.0
15102,7,2015-01-11,8.0
15103,8,2015-01-11,8.0
15104,9,2015-01-11,8.0
15105,10,2015-01-11,4.0
15106,11,2015-01-11,4.0
15107,12,2015-01-11,4.0
15108,13,2015-01-11,4.0
15109,1,2015-01-12,8.0
15110,2,2015-01-12,8.0
15111,3,2015-01-12,8.0
15112,4,2015-01-12,8.0
15113,5,2015-01-12,8.0
15114,6,2015-01-12,8.0
15115,7,2015-01-12,8.0
15116,8,2015-01-12,8.0
15117,9,2015-01-12,8.0
15118,10,2015-01-12,4.0
15119,11,2015-01-12,4.0
15120,12,2015-01-12,4.0
15121,13,2015-01-12,4.0
15122,1,2015-01-13,8.0
15123,2,2015-01-13,8.0
15124,3,2015-01-13,8.0
15125,4,2015-01-13,8.0
15126,5,2015-01-13,8.0
15127,6,2015-01-13,8.0
15128,7,2015-01-13,8.0
15129,8,2015-01-13,8.0
15130,9,2015-01-13,8.0
15131,10,2015-01-13,4.0
15132,11,2015-01-13,4.0
15133,12,2015-01-13,4.0
15134,13,2015-01-13,4.0
15135,1,2015-01-14,8.0
15136,2,2015-01-14,8.0
15137,3,2015-01-14,8.0
15138,4,2015-01-14,8.0
15139,5,2015-01-14,8.0
15140,6,2015-01-14,8.0
15141,7,2015-01-14,8.0
15142,8,2015-01-14,8.0
15143,9,2015-01-14,8.0
15144,10,2015-01-14,4.0
15145,11,2015-01-14,4.0
15146,12,2015-01-14,4.0
15147,13,2015-01-14,4.0
15148,1,2015-01-15,8.0
15149,2,2015-01-15,8.0
15150,3,2015-01-15,8.0
15151,4,2015-01-15,8.0
15152,5,2015-01-15,8.0
15153,6,2015-01-15,8.0
